input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1
244,1,0,1156,0.1737
244,1,0,1156,0.173
244,1,0,1156,0.1737
244,0,10,1156,0.1744
244,0,9,1164,0.1687
244,1,0,1156,0.1737
244,0,10,1156,0.1744
244,0,4465,1156,0.9028
244,1,0,1156,0.1737
244,0,10,1156,0.1744
244,1,0,1156,0.1737
245,0,1157,1155,0.99
245,0,4,1159,0.1694
245,1,0,1155,0.1701
246,1,0,1154,0.1751
246,1,0,1154,0.173
246,0,5,1154,0.1744
246,0,6,1158,0.1737
246,0,10,1154,0.1758
246,1,0,1154,0.173
246,1,0,1154,0.1744
246,0,3,1154,0.1751
246,1,0,1154,0.1751
246,0,4,1158,0.1701
246,1,0,1154,0.173
246,1,0,1154,0.1751
246,0,3437,1154,0.9185
246,0,2,1156,0.1716
246,0,10,1154,0.1758
246,0,10,1154,0.1744
246,0,4,1158,0.1723
246,0,693,1154,0.3188
246,0,10,1154,0.1758
246,0,3674,1154,0.9264
246,0,4,1162,0.1673
246,1,0,1154,0.1744
246,0,3,1156,0.173
246,0,3,1154,0.1751
247,0,9,1154,0.1758
247,1,0,1153,0.1751
247,1,0,1153,0.1751
247,0,15,1157,0.178
247,1,0,1153,0.1751
247,1,0,1153,0.1744
247,1,0,1153,0.1737
247,1,0,1153,0.1744
248,1,0,1152,0.1766
248,0,1,1154,0.1723
248,0,10,1152,0.1766
248,1,0,1152,0.1766
248,1,0,1152,0.1758
248,1,0,1152,0.1766
248,1,0,1152,0.1766
248,0,2,1154,0.1751
248,1,0,1152,0.1737
248,0,11,1165,0.1673
248,1,0,1152,0.1758
248,1,0,1152,0.1758
248,0,10,1152,0.1773
248,1,0,1152,0.1766
248,1,0,1152,0.1766
248,0,11,1153,0.1766
249,0,2,1153,0.173
250,1,0,1150,0.1773
250,1,0,1150,0.1751
250,1,0,1150,0.1773
250,0,35,1159,0.173
250,0,10,1150,0.1773
250,0,5,1152,0.1773
250,1,0,1150,0.173
250,1,0,1150,0.178
250,0,4176,1150,0.9157
250,0,2,1150,0.1751
250,0,4,1154,0.1758
250,0,10,1150,0.178
250,1,0,1150,0.1751
250,1,0,1150,0.178
250,0,4830,1150,0.8856
250,0,704,1150,0.3281
250,1,0,1150,0.178
250,1,0,1150,0.178
250,0,4265,1150,0.9149
250,1,0,1150,0.1758
274,1,0,1126,0.1944
274,1,0,1126,0.1951
274,1,0,1126,0.1951
275,1,0,1125,0.1959
275,0,1,1125,0.1923
275,1,0,1125,0.1944
275,0,1670,1134,0.6948
275,1,0,1125,0.193
276,1,0,1124,0.1966
276,1,0,1124,0.1937
276,1,0,1124,0.1923
277,0,2,1125,0.1951
277,0,2,1127,0.1909
277,1,0,1123,0.1966
277,1,0,1123,0.1966
278,1,0,1122,0.1951
278,1,0,1122,0.1973
278,1,0,1122,0.1951
278,1,0,1122,0.1951
278,0,2,1124,0.1973
279,1,0,1121,0.1959
279,0,1131,1125,0.96
279,1,0,1121,0.1966
279,1,0,1121,0.1944
280,1,0,1120,0.1994
280,1,0,1120,0.1987
280,1,0,1120,0.1994
280,1,0,1120,0.1994
280,1,0,1120,0.1994
280,1,0,1120,0.198
280,0,6,1124,0.1937
280,1,0,1120,0.1994
280,1,0,1120,0.1994
280,1,0,1120,0.1987
281,1,0,1119,0.198
281,1,0,1119,0.1973
281,0,4,1123,0.1959
281,1,0,1119,0.1959
282,1,0,1118,0.1994
282,1,0,1118,0.1987
282,1,0,1118,0.1994
282,1,0,1118,0.2009
282,0,2,1120,0.1994
282,0,13,1118,0.2023
282,1,0,1118,0.2001
282,1,0,1118,0.2009
282,1,0,1118,0.2009
282,1,0,1118,0.2009
283,0,1118,1117,0.837
284,1,0,1116,0.2023
284,0,4,1120,0.1987
284,0,7,1127,0.1937
284,0,4,1120,0.198
284,1,0,1116,0.2023
284,1,0,1116,0.2023
284,0,4,1120,0.1973
284,1,0,1116,0.2023
285,1,0,1115,0.203
286,1,0,1114,0.2037
286,1,0,1114,0.2037
286,1,0,1114,0.2037
286,0,1248,1114,0.9378
286,1,0,1114,0.2037
286,0,10,1114,0.2044
286,0,2227,1114,0.203
287,1,0,1113,0.2044
287,1,0,1113,0.2023
287,0,4,1117,0.1994
288,1,0,1112,0.2051
288,0,4,1116,0.2001
288,0,3,1115,0.2001
288,1,0,1112,0.2051
288,1,0,1112,0.2051
288,1,0,1112,0.2051
288,1,0,1112,0.2051
288,1,0,1112,0.2051
288,0,5,1117,0.1994
289,0,38,1134,0.198
289,0,7,1123,0.193
289,1,0,1111,0.203
289,1,0,1111,0.2037
290,0,2220,1110,0.752
290,1,0,1110,0.2066
290,1,0,1110,0.2059
290,1,0,1110,0.2059
290,1,0,1110,0.2051
290,1,0,1110,0.2066
290,1,0,1110,0.2051
290,1,0,1110,0.2066
290,0,2,1114,0.2001
290,1,0,1110,0.2066
290,1,0,1110,0.2037
290,0,4,1114,0.2023
290,1,0,1110,0.2066
290,1,0,1110,0.2066
290,1,0,1110,0.2066
290,1,0,1110,0.2051
290,0,8,1118,0.2016
290,1,0,1110,0.2059
290,0,743,1110,0.3631
290,1,0,1110,0.2066
290,1,0,1110,0.2066
290,1,0,1110,0.2066
291,1,0,1109,0.2051
291,1,0,1109,0.2059
291,0,1,1109,0.2051
291,0,4,1113,0.2044
291,1,0,1109,0.2023
292,0,4,1112,0.2059
292,0,28,1128,0.2016
292,1,0,1108,0.208
292,1,0,1108,0.2073
292,1,0,1108,0.2059
292,1,0,1108,0.208
292,0,13,1108,0.2094
292,1,0,1108,0.2066
292,1,0,1108,0.2073
292,1,0,1108,0.2059
292,1,0,1108,0.208
292,1,0,1108,0.208
293,1,0,1107,0.2044
294,0,14,1107,0.2116
294,1,0,1106,0.2087
294,1,0,1106,0.2094
294,0,6,1112,0.2023
294,1,0,1106,0.2094
294,1,0,1106,0.2094
294,0,1,1107,0.2087
294,1,0,1106,0.2059
294,1,0,1106,0.2087
294,0,4,1110,0.2016
294,0,1202,1109,0.9271
294,1,0,1106,0.2051
294,1,0,1106,0.2094
294,1,0,1106,0.2087
294,1,0,1106,0.2094
294,1,0,1106,0.2094
294,1,0,1106,0.2087
294,1,0,1106,0.2073
294,1,0,1106,0.2094
294,1,0,1106,0.2087
294,1,0,1106,0.2094
295,1,0,1105,0.2073
295,0,1105,1105,0.9836
295,1,0,1105,0.2066
295,1,0,1105,0.2073
296,1,0,1104,0.2109
296,1,0,1104,0.2109
296,0,2522,1104,0.8284
296,1,0,1104,0.2109
296,0,2,1108,0.2023
