input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1,accept_rate_2,accept_rate_3,accept_rate_4,accept_rate_5
146,0,3641,1254,0.862,0.8312,0.612,0.6619,0.7054
146,0,1398,1297,0.6905,0.6338,0.5476,0.1991,0.1319
146,0,1328,1254,0.742,0.5486,0.3479,0.4019,0.1842
146,0,5109,1254,0.8528,0.8569,0.8482,0.8238,0.8237
146,0,4013,1254,0.8799,0.8326,0.6779,0.7314,0.7391
147,0,1343,1253,0.8535,0.784,0.6886,0.6117,0.41
147,0,1308,1260,0.837,0.6974,0.5727,0.4928,0.3398
147,0,1357,1257,0.9257,0.7747,0.5784,0.5079,0.2975
147,0,1361,1261,0.9528,0.8469,0.6514,0.591,0.352
147,0,1351,1261,0.817,0.6531,0.5805,0.5265,0.4495
148,0,3376,1252,0.7291,0.6853,0.6163,0.601,0.4695
148,0,4835,1252,0.8649,0.8705,0.8082,0.8188,0.7871
148,0,4153,1252,0.9114,0.8648,0.7402,0.755,0.7133
148,0,4428,1252,0.8992,0.8863,0.8196,0.8302,0.7677
148,0,4752,1252,0.9021,0.8813,0.8053,0.8288,0.7871
148,0,1343,1260,0.8134,0.6009,0.3121,0.1297,0.2179
148,0,1374,1252,0.817,0.5687,0.4116,0.3431,0.3369
148,0,1243,1252,0.8663,0.8119,0.4696,0.4269,0.2968
148,0,1353,1252,0.9457,0.8662,0.7387,0.5559,0.4559
148,0,4853,1252,0.8964,0.8813,0.821,0.8266,0.805
148,0,3396,1252,0.7563,0.8519,0.5619,0.5308,0.5391
148,0,4324,1252,0.8763,0.8469,0.7416,0.7787,0.7384
148,0,4901,1252,0.8742,0.8627,0.8382,0.8209,0.8222
148,0,5262,1252,0.8227,0.8426,0.8311,0.8266,0.8201
148,0,4510,1252,0.9121,0.9034,0.8089,0.8302,0.7928
148,0,4974,1252,0.8856,0.8841,0.8261,0.8309,0.8108
148,0,3601,1252,0.7541,0.8841,0.7237,0.6418,0.676
148,0,4867,1252,0.9385,0.9342,0.8404,0.8417,0.8703
148,0,4854,1252,0.8756,0.8777,0.8225,0.8259,0.8022
148,0,4773,1252,0.8821,0.8598,0.8125,0.8274,0.7849
148,0,4405,1252,0.8685,0.8448,0.7616,0.783,0.7341
148,0,4971,1252,0.8456,0.8455,0.821,0.8231,0.8065
148,0,3514,1252,0.7963,0.9385,0.7001,0.6597,0.79
148,0,3884,1252,0.9321,0.8784,0.6693,0.6877,0.6387
148,0,1317,1254,0.7941,0.5558,0.4166,0.3725,0.1907
148,0,4454,1252,0.8999,0.8813,0.8024,0.8152,0.7749
148,0,3508,1252,0.8985,0.8326,0.5576,0.558,0.5341
148,0,3830,1252,0.7748,0.8648,0.665,0.6476,0.6573
148,0,4766,1252,0.8992,0.8784,0.8261,0.8338,0.7914
149,0,1325,1251,0.8442,0.5222,0.4732,0.2779,0.1262
149,0,1253,1253,0.5189,0.3569,0.2377,0.1705,0.1082
149,0,1267,1265,0.594,0.4242,0.2269,0.1476,0.3513
149,0,1251,1251,0.6476,0.3283,0.1854,0.1032,0.2215
149,0,1323,1251,0.8956,0.8112,0.7008,0.6153,0.448
149,0,1281,1251,0.8678,0.7618,0.6822,0.639,0.5699
149,0,1325,1251,0.8335,0.6788,0.3987,0.3345,0.1957
150,0,4328,1250,0.9056,0.8763,0.7588,0.788,0.7376
150,0,3499,1250,0.8213,0.7969,0.5834,0.6468,0.5749
150,0,3502,1250,0.8199,0.9592,0.7387,0.6805,0.767
150,0,1350,1254,0.9421,0.829,0.5304,0.4914,0.428
150,0,5101,1250,0.8892,0.8641,0.8017,0.8324,0.8151
150,0,5133,1250,0.842,0.8498,0.8089,0.8173,0.8215
150,0,5126,1250,0.9786,0.8827,0.8246,0.8238,0.9591
150,0,4563,1250,0.9207,0.8956,0.8031,0.8159,0.7599
150,0,4861,1250,0.8785,0.8734,0.8218,0.8152,0.7971
150,0,4945,1250,0.8613,0.8619,0.8132,0.8152,0.7986
150,0,4864,1250,0.9071,0.8734,0.8017,0.8188,0.7742
150,0,3382,1250,0.8742,0.7411,0.6042,0.6612,0.4853
150,0,3536,1250,0.9335,0.9127,0.6757,0.7693,0.6545
150,0,4984,1250,0.8763,0.872,0.821,0.8245,0.8093
150,0,4775,1250,0.8828,0.8577,0.7853,0.8116,0.7713
150,0,4342,1250,0.8663,0.8391,0.7509,0.7751,0.7254
150,0,4268,1250,0.8835,0.8648,0.7545,0.7808,0.729
150,0,5125,1250,0.8685,0.8698,0.8504,0.851,0.828
150,0,5125,1250,0.9028,0.9084,0.8203,0.8166,0.8057
